CP015498.1	CP015498.1_RagTag	99.908	46878	31	4	1346655	1393522	1112503	1159378	0.0	86319
CP015498.1	CP015498.1_RagTag	99.591	37870	102	11	944471	982309	777515	815362	0.0	69025
CP015498.1	CP015498.1_RagTag	99.721	34026	72	7	823766	857780	658864	692877	0.0	62286
CP015498.1	CP015498.1_RagTag	99.788	32948	54	5	297950	330895	236754	269687	0.0	60441
CP015498.1	CP015498.1_RagTag	99.605	30924	75	11	1941730	1972633	1577096	1607992	0.0	56386
CP015498.1	CP015498.1_RagTag	99.866	29835	40	0	1527435	1557269	1270819	1300653	0.0	54874
CP015498.1	CP015498.1_RagTag	99.771	29740	61	2	867529	897268	704726	734458	0.0	54536
CP015498.1	CP015498.1_RagTag	99.815	26557	40	4	1197495	1224043	993114	1019669	0.0	48761
CP015498.1	CP015498.1_RagTag	99.726	26285	67	3	141675	167954	106983	133267	0.0	48135
CP015498.1	CP015498.1_RagTag	99.946	22290	10	2	332228	354515	269788	292077	0.0	41094
CP015498.1	CP015498.1_RagTag	99.656	20344	58	8	2170806	2191143	1803190	1823527	0.0	37170
CP015498.1	CP015498.1_RagTag	99.501	20438	41	9	992339	1012772	825650	846030	0.0	37120
CP015498.1	CP015498.1_RagTag	99.724	20266	38	3	921972	942223	754712	774973	0.0	37098
CP015498.1	CP015498.1_RagTag	99.786	19164	41	0	1482064	1501227	1233219	1252382	0.0	35163
CP015498.1	CP015498.1_RagTag	99.386	17927	75	10	118972	136877	86790	104702	0.0	32463
CP015498.1	CP015498.1_RagTag	99.593	17453	69	1	1694021	1711473	1411492	1428942	0.0	31835
CP015498.1	CP015498.1_RagTag	99.720	17144	44	3	680318	697458	557379	574521	0.0	31390
CP015498.1	CP015498.1_RagTag	99.691	16816	23	3	1422785	1439580	1185303	1202109	0.0	30738
CP015498.1	CP015498.1_RagTag	99.737	16336	28	7	1181183	1197505	976541	992874	0.0	29914
CP015498.1	CP015498.1_RagTag	99.647	16160	35	5	428843	444980	348660	364819	0.0	29506
CP015498.1	CP015498.1_RagTag	99.557	15818	50	4	511906	527710	415404	431214	0.0	28805
CP015498.1	CP015498.1_RagTag	99.703	15463	41	2	1329512	1344970	1096941	1112402	0.0	28295
CP015498.1	CP015498.1_RagTag	99.322	15643	87	6	1784201	1799827	1491025	1506664	0.0	28282
CP015498.1	CP015498.1_RagTag	98.817	15636	133	10	2145772	2161401	1778948	1794537	0.0	27802
CP015498.1	CP015498.1_RagTag	99.500	15200	54	7	1663308	1678506	1380730	1395908	0.0	27628
CP015498.1	CP015498.1_RagTag	99.464	14930	61	3	179935	194845	143939	158868	0.0	27109
CP015498.1	CP015498.1_RagTag	99.707	14688	43	0	1754224	1768911	1466295	1480982	0.0	26886
CP015498.1	CP015498.1_RagTag	99.499	14766	66	5	2106810	2121574	1747743	1762501	0.0	26851
CP015498.1	CP015498.1_RagTag	99.847	14403	17	4	898223	912622	734446	748846	0.0	26470
CP015498.1	CP015498.1_RagTag	99.840	14370	9	2	496815	511184	400028	414383	0.0	26397
CP015498.1	CP015498.1_RagTag	99.694	14364	40	4	79730	94091	59723	74084	0.0	26278
CP015498.1	CP015498.1_RagTag	99.537	14258	33	8	1719835	1734076	1436433	1450673	0.0	25933
CP015498.1	CP015498.1_RagTag	99.921	14009	11	0	1455813	1469821	1209579	1223587	0.0	25809
CP015498.1	CP015498.1_RagTag	99.647	13863	42	4	382431	396289	307264	321123	0.0	25322
CP015498.1	CP015498.1_RagTag	99.736	13635	13	2	2030447	2044080	1659831	1673443	0.0	24958
CP015498.1	CP015498.1_RagTag	99.523	13410	51	5	246595	260004	195558	208954	0.0	24397
CP015498.1	CP015498.1_RagTag	99.251	13225	53	8	621888	635070	506628	519848	0.0	23832
CP015498.1	CP015498.1_RagTag	99.082	12528	61	9	2050476	2063000	1679105	1691581	0.0	22448
CP015498.1	CP015498.1_RagTag	99.798	11902	23	1	407798	419698	329970	341871	0.0	21845
CP015498.1	CP015498.1_RagTag	99.270	11639	67	3	1623917	1635537	1347790	1359428	0.0	21006
CP015498.1	CP015498.1_RagTag	99.142	11538	86	8	218018	229544	177792	189327	0.0	20746
CP015498.1	CP015498.1_RagTag	98.524	11589	103	16	1047598	1059141	872880	884445	0.0	20391
CP015498.1	CP015498.1_RagTag	99.763	10975	25	1	660594	671567	538680	549654	0.0	20122
CP015498.1	CP015498.1_RagTag	98.914	11047	105	3	21226	32272	14263	25294	0.0	19721
CP015498.1	CP015498.1_RagTag	99.731	10766	28	1	1509082	1519846	1259784	1270549	0.0	19719
CP015498.1	CP015498.1_RagTag	99.657	10772	30	4	1597376	1608147	1329004	1339768	0.0	19680
CP015498.1	CP015498.1_RagTag	99.627	10718	35	4	66352	77064	49015	59732	0.0	19566
CP015498.1	CP015498.1_RagTag	99.760	10403	18	2	1	10397	7	10408	0.0	19065
CP015498.1	CP015498.1_RagTag	99.198	10351	69	5	720882	731221	592311	602658	0.0	18643
CP015498.1	CP015498.1_RagTag	98.325	10448	167	6	778758	789199	622876	633321	0.0	18318
CP015498.1	CP015498.1_RagTag	97.889	10562	214	8	609035	619590	496052	506610	0.0	18260
CP015498.1	CP015498.1_RagTag	99.637	9929	18	3	170016	179943	133781	143692	0.0	18120
CP015498.1	CP015498.1_RagTag	99.235	9937	64	9	262143	272074	210437	220366	0.0	17919
CP015498.1	CP015498.1_RagTag	99.896	9587	10	0	1239541	1249127	1026323	1035909	0.0	17649
CP015498.1	CP015498.1_RagTag	99.815	9213	16	1	650683	659894	529367	538579	0.0	16918
CP015498.1	CP015498.1_RagTag	99.400	9333	31	6	639946	649264	519841	529162	0.0	16901
